f1,f2,run
-1.2765396982547568,-0.7571774454500417,1
-0.346597193323356,-1.9916969633404178,1
-1.69238046578144,-0.48871949945176946,1
-2.6144185671699374,-0.14675306293125592,1
-4.042145196453214,-0.00011043258583663645,1
-0.2625358328914076,-2.2130058071873386,1
-0.04702451265569128,-3.179619069687375,1
-0.18981937757427708,-2.447088749740924,1
-0.11328077279749174,-2.766992406673849,1
-0.6593000705568314,-1.4114082729580717,1
-0.14587495643508144,-2.618131750604565,1
-2.866664258844162,-0.09417371684215843,1
-0.08841053692741307,-2.899054160209901,1
-0.7541186340238082,-1.2805184635406062,1
-0.8434860055105773,-1.1698262378988247,1
-2.1096010250285695,-0.2998147638605125,1
-1.6954716082897732,-0.4870605518699392,1
-1.1089089472223235,-0.8967191182192222,1
-0.033153852581958305,-3.304825876110278,1
-0.22091690939979117,-2.3408449558840068,1
-0.43798959537509835,-1.790758300984377,1
-0.11281641149039336,-2.7692902361419955,1
-3.203589991175849,-0.04415985611526699,1
-0.0,-4.0,1
-2.957809816302458,-0.07849611064552463,1
-0.0018290993592509415,-3.830757214620656,1
-1.5224835235041785,-0.5869251583273614,1
-0.1889617610033733,-2.450172476456803,1
-0.4000964934856184,-1.869969244557238,1
-1.5996751440491503,-0.5405445562123029,1
-1.6249188623866544,-0.5260266495440972,1
-1.8902700953237026,-0.3907863445358851,1
-3.3681329103997637,-0.027143428974509737,1
-0.9290686187263033,-1.0735403929677558,1
-0.03144498813645275,-3.3221355985304473,1
-1.1012781362241484,-0.9036061409884113,1
-1.0647889272776008,-0.9372445197101167,1
-2.6021973399384692,-0.1496662521392397,1
-0.7586728211531233,-1.274599753829481,1
-3.946095594105705,-0.0001828393813441952,1
-0.220734208198537,-2.3414398376496885,1
-1.0119351121894462,-0.9881356893763334,1
-1.9560410700812325,-0.36169954302912377,1
-0.0007998966611678669,-3.8876701190662044,1
-0.3658324181043172,-1.9464691362326023,1
-0.0018397505013326646,-3.830270499114837,1
-0.9674540891726586,-1.033084326839365,1
-3.0222637385983417,-0.06840007746912259,1
-0.05298661493703936,-3.132233749618321,1
-0.20462744781797185,-2.3951968287867946,1
-0.08350556394112385,-2.9276123928141455,2
-0.8143027272037326,-1.2047537754287714,2
-0.8381502625170364,-1.1761283892518613,2
-0.16611129187683704,-2.535841170078185,2
-0.30440366175328964,-2.0974921120865084,2
-0.6511199638230787,-1.4234397719253034,2
-0.14082209124615158,-2.6397713059832326,2
-0.20916279041858532,-2.379790043628756,2
-0.3251902194469378,-2.044172132900712,2
-0.6282788993225613,-1.4577170580772307,2
-0.4047876583740905,-1.8598706589445515,2
-0.46411465697631815,-1.7390762147481924,2
-0.11761302565504125,-2.745822804637024,2
-0.6360257466161268,-1.445976852655718,2
-3.8164093942386375,-0.002156371216014643,2
-3.0781345099465476,-0.06028924525562815,2
-0.5519946554724985,-1.5801409431306586,2
-2.0399152307484596,-0.3268911898419842,2
-2.700537355625856,-0.1272126496636063,2
-6.74864373559842e-05,-3.9672074347378263,2
-0.002769994162906499,-3.7922470581048513,2
-0.11097249030447891,-2.7784711413852134,2
-0.02336231994873832,-3.4119728212003437,2
-1.642574091618022,-0.5160562221584458,2
-2.6319314971548446,-0.14264001391281708,2
-0.39474874179201536,-1.881587412177013,2
-3.349211514219541,-0.028871069437436735,2
-0.0038042517642921073,-3.757089784761091,2
-0.1700130544393635,-2.520707482075705,2
-1.3669950693727295,-0.690252494677852,2
-1.6401246459767844,-0.5174305954181772,2
-2.2436612688981987,-0.25211887128711447,2
-0.029791453633850704,-3.3393834162084373,2
-0.0013838296733284371,-3.85258438487176,2
-0.08167757018544408,-2.9385060506980554,2
-0.4010237705369612,-1.8679662645589823,2
-1.3670111607338666,-0.690241060360975,2
-2.1369379458872904,-0.2896302633553847,2
-0.023600815780617877,-3.4090985354838836,2
-0.023840522788618392,-3.4062254609435447,2
-0.0274300481546526,-3.364949278264355,2
-0.45123585953270584,-1.7642721916497004,2
-0.2918481929442194,-2.1309291553337144,2
-0.668572609796892,-1.3979210299507183,2
-0.7344908994119459,-1.3063931192150138,2
-0.3840069866948062,-1.905275095764103,2
-0.4201589915557634,-1.8273721000252978,2
-0.060451155819971,-3.0769784855746125,2
-0.3716404710126357,-1.9331475888819187,2
-0.7238040489666758,-1.3207370817344979,2
-0.6679021368703403,-1.3988909423460014,3
-0.323093591793248,-2.0494407008065942,3
-2.2387861785109906,-0.25375661666454563,3
-0.6978747732138592,-1.3563187926231184,3
-1.8955163177925074,-0.3884062694386416,3
-3.260834865939928,-0.03772211207550781,3
-0.0006715296607705059,-3.8970159722973174,3
-1.2832952055367142,-0.7519903947137404,3
-1.6894557882250072,-0.4902931045229368,3
-3.2415189857233946,-0.03983142157745245,3
-0.8080093484011995,-1.212435739862613,3
-3.4005885212895746,-0.024314642112284086,3
-0.32868873824881406,-2.035433451111984,3
-0.9003721413276027,-1.1048544874045383,3
-3.5750364571240114,-0.011929733430091285,3
-2.134721380011893,-0.29044708116260926,3
-3.4584416079525484,-0.019687295082632505,3
-0.1973220791784285,-2.4204840823833194,3
-0.10414935703485122,-2.8132621766206913,3
-0.027528216539805184,-3.3638630414425403,3
-0.009713223927853221,-3.615490466028653,3
-3.6543142400729347,-0.0078099511074890765,3
-1.111622908319144,-0.8942817396316611,3
-3.65054127960852,-0.007985393405507088,3
-1.0199492366584204,-0.9802477889602459,3
-0.0731870162788049,-2.9910630582865245,3
-1.7154605918270507,-0.476436878458995,3
-3.5500975410979,-0.013416530363373782,3
-0.15946367891816288,-2.562147535291421,3
-0.8882492958532839,-1.1183701553963192,3
-0.5211177272465657,-1.6335783533253976,3
-0.06792171191393698,-3.0254499422131973,3
-0.037380885718353324,-3.2640154019439267,3
-0.9886276453705964,-1.0114373901867257,3
-0.44632232810887495,-1.7740279487894859,3
-0.21357461324580662,-2.3650092744133095,3
-1.5387534567362509,-0.5768933914200177,3
-0.8927644705213509,-1.1133158958822391,3
-0.203793022793859,-2.398055399355242,3
-1.2858647408987058,-0.7500256945502473,3
-0.029816966393549877,-3.339113366940935,3
-0.2462222963865341,-2.2613906304298097,3
-0.6138463923939811,-1.4799123984649931,3
-1.5264527587240373,-0.5844648854503082,3
-0.25854092356269964,-2.2246641384542225,3
-0.05661213312192357,-3.104879959687203,3
-0.08976846244504783,-2.8913130401949063,3
-0.6386652494774357,-1.4420038674041058,3
-0.39994781730697215,-1.8702907107188966,3
-3.5373068528664238,-0.014215091770937802,3
-0.15849114739061262,-2.566053281020373,4
-0.2594839314321597,-2.2219013188948042,4
-0.0896630535391813,-2.8919114696842896,4
-0.11983435481936056,-2.735150391920328,4
-1.0274440611028859,-0.9729274465548367,4
-0.0066422018670316075,-3.68064338304631,4
-1.1502217852710828,-0.8602860556432688,4
-0.36344240133108136,-1.9519950307054437,4
-0.47952606538391623,-1.709613242542255,4
-0.008006695238433654,-3.6500861400660063,4
-2.1743080380017017,-0.27609401950192985,4
-0.48853383386844473,-1.6927260182460768,4
-1.499142578470493,-0.601563456544244,4
-2.847828582381355,-0.09762433968605116,4
-0.042182445942558836,-3.220647823981353,4
-0.30457588786750556,-2.0970401110611387,4
-0.047381763945613296,-3.1766876597219698,4
-2.0789848798441994,-0.3115107292729816,4
-1.213608915331856,-0.8070521364726868,4
